State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
IL,2016,16,IL-16,H0IL11052,"Kinzinger, Adam",259722,0.9995,1,Republican,1,1,1,0,259853,1024440.33,1024440.33,1
OR,2004,4,OR-4,H6OR04047,"DeFazio, Peter A.",228611,0.6098,1,Democrat,0,1,1,0,374909,1525199.27,909247.74,2
IL,2010,14,IL-14,H0IL14080,"Hultgren, Randall M. ""Randy""",112369,0.5131,1,Republican,1,0,0,0,219013,5493272.00,1649532.59,2
IL,2012,14,IL-14,H0IL14080,"Hultgren, Randy M.",177603,0.5882,1,Republican,1,1,1,0,301954,1448025.17,1350126.39,2
IL,2016,14,IL-14,H0IL14080,"Hultgren, Randall M. ""Randy""",200508,0.5930,1,Republican,1,1,1,0,338097,1324549.66,1301824.30,2
IL,2014,14,IL-14,H0IL14080,"Hultgren, Randall M. ""Randy"" ",145369,0.6541,1,Republican,1,1,0,0,222230,1013946.52,957244.67,2
IL,2006,15,IL-15,H0IL15053,"Johnson, Timothy V.",116810,0.5759,1,Republican,1,1,0,1,202835,728162.10,493988.28,2
IL,2004,15,IL-15,H0IL15053,"Johnson, Tim",178114,0.6105,1,Republican,1,1,1,1,291739,528863.87,428755.36,2
IL,2008,15,IL-15,H0IL15053,"Johnson, Timothy V.",187121,0.6419,1,Republican,1,1,1,0,291514,295922.90,295922.90,1
IL,2010,15,IL-15,H0IL15053,"Johnson, Timothy V.",136915,0.6432,1,Republican,1,1,0,0,212863,412823.78,270406.89,2
IL,2008,16,IL-16,H0IL16085,"Manzullo, Donald A.",190039,0.6087,1,Republican,1,1,1,0,312220,1852597.00,1346248.76,3
IL,2006,16,IL-16,H0IL16085,"Manzullo, Donald A.",125951,0.6358,1,Republican,1,1,0,1,198101,1439925.87,1334342.47,2
